altname,wiki_id
Nihon,Q17
Nihon-koku,Q17
Nippon-koku,Q17
State of Japan,Q17
iq,Q796
🇮🇶,Q796
Republic of Iraq,Q796
IRQ,Q796
cr,Q800
CRC,Q800
CRI,Q800
🇨🇷,Q800
Republic of Costa Rica,Q800
CAN,Q16
CA,Q16
Dominion of Canada,Q16
ISO 3166-1:CA,Q16
JPN,Q17
Nippon,Q17
Ja,Q17
🇯🇵,Q17
Jap,Q17
JAP,Q17
JP,Q17
jp,Q17
Land of the Rising Sun,Q17
JA,Q17
IL,Q801
Yisrael,Q801
il,Q801
ISR,Q801
State of Israel,Q801
Republic of Ireland,Q27
Southern Ireland,Q27
Hibernia,Q27
Éire,Q27
IRL,Q27
YEM,Q805
🇾🇪,Q805
Kingdom of Spain,Q29
Irish Republic,Q27
ni,Q811
Republic of Nicaragua,Q811
NI,Q811
NIC,Q811
🇳🇮,Q811
NCA,Q811
Magyarország,Q28
hu,Q28
HUN,Q28
America,Q30
ye,Q805
Rep. Yemen,Q805
Republic of Yemen,Q805
Federal Democratic Republic of Nepal,Q837
Naipala,Q837
Naipála,Q837
Nehpal,Q837
Nekbal,Q837
Nipal,Q837
Palpou,Q837
Pa-le-pou,Q837
Pa-lo-pou,Q837
Pa-eul-pou,Q837
Pai-pou,Q837
Paï-pou,Q837
Balpo,Q837
Bal-bo,Q837
Bal-po'i yul,Q837
Bal-yul,Q837
Naipál,Q837
Ne-pel,Q837
Necbal,Q837
Nei-pal,Q837
Népaal,Q837
Nepall,Q837
Nepaul,Q837
Nercerri,Q837
Ni-po-lo,Q837
Ni-po-louo,Q837
Niepal,Q837
Balpo-yul,Q837
Nekpal,Q837
Nepál,Q837
Népál,Q837
Saudi,Q851
Saudia,Q851
Kingdom of Saudi Arabia,Q851
🇸🇦,Q851
JO,Q810
jo,Q810
Kyrgyz Republic,Q813
🇰🇬,Q813
Kirgizia,Q813
kg,Q813
KGZ,Q813
LBN,Q822
Lebanese Republic,Q822
Republic of Lebanon,Q822
Lubnan,Q822
🇱🇧,Q822
lb,Q822
🇲🇲,Q836
Republic of the Union of Myanmar,Q836
MM,Q836
MYA,Q836
Burma,Q836
BUR,Q836
Union of Burma,Q836
la,Q819
🇱🇦,Q819
LAO,Q819
Lao PDR,Q819
Lao People's Democratic Republic,Q819
be,Q31
BE,Q31
🇧🇪,Q31
BEL,Q31
Kingdom of Belgium,Q31
MDV,Q826
mv,Q826
🇲🇻,Q826
Republic of Maldives,Q826
PAK,Q843
pk,Q843
Islamic Republic of Pakistan,Q843
Republic of Pakistan,Q843
🇵🇰,Q843
Land of Rising Sun,Q17
Iapan,Q17
Iapon,Q17
Merica,Q30
Murica,Q30
NPL,Q837
🇳🇵,Q837
NP,Q837
Balbo,Q837
Palpa,Q837
NEP,Q837
fi,Q33
Suomi,Q33
FIN,Q33
Kingdom of Norway,Q20
🇳🇴,Q20
Thoi-van,Q865
Republic of Tajikistan,Q863
tj,Q863
🇹🇯,Q863
TJK,Q863
the States,Q30
the U.S.,Q30
the United States,Q30
the United States of America,Q30
the US,Q30
the USA,Q30
U. S.,Q30
U. S. A.,Q30
U.S.,Q30
U.S.A.,Q30
US of A,Q30
USA,Q30
ie,Q27
Kingdom of Thailand,Q869
Land of Smiles,Q869
Siam,Q869
th,Q869
🇹🇭,Q869
THA,Q869
US,Q30
